# mN [MeV]	|U_muN|^2 (3)	|U_muN|^2 (50)	|U_eN|^2 (3)	|U_eN|^2 (50)
109.84	inf	inf	2.20917e-09	9.01889e-09
110.1	inf	inf	2.19686e-09	8.96864e-09
110.36	inf	inf	2.18476e-09	8.91924e-09
110.62	inf	inf	2.17286e-09	8.87065e-09
110.88	inf	inf	2.16116e-09	8.82289e-09
111.14	inf	inf	2.14966e-09	8.77594e-09
111.4	inf	inf	2.13836e-09	8.7298e-09
111.66	inf	inf	2.12725e-09	8.68447e-09
111.92	inf	inf	2.11634e-09	8.63994e-09
112.18	inf	inf	2.10563e-09	8.59621e-09
112.44	inf	inf	2.09511e-09	8.55327e-09
112.7	inf	inf	2.08479e-09	8.51113e-09
112.96	inf	inf	2.07466e-09	8.46977e-09
113.22	inf	inf	2.06472e-09	8.4292e-09
113.48	inf	inf	2.05498e-09	8.38942e-09
113.74	inf	inf	2.04543e-09	8.35042e-09
114	inf	inf	2.03606e-09	8.31219e-09
114.26	inf	inf	2.02689e-09	8.27475e-09
114.52	inf	inf	2.01791e-09	8.23809e-09
114.78	inf	inf	2.00912e-09	8.2022e-09
115.04	inf	inf	2.00052e-09	8.16709e-09
115.3	inf	inf	1.99211e-09	8.13276e-09
115.56	inf	inf	1.98389e-09	8.0992e-09
115.82	inf	inf	1.97586e-09	8.06643e-09
116.08	inf	inf	1.96803e-09	8.03444e-09
116.34	inf	inf	1.96038e-09	8.00322e-09
116.6	inf	inf	1.95293e-09	7.97279e-09
116.86	inf	inf	1.94567e-09	7.94315e-09
117.12	inf	inf	1.9386e-09	7.9143e-09
117.38	inf	inf	1.93173e-09	7.88624e-09
117.64	inf	inf	1.92505e-09	7.85898e-09
117.9	inf	inf	1.91857e-09	7.83252e-09
118.16	inf	inf	1.91228e-09	7.80686e-09
118.42	inf	inf	1.9062e-09	7.78202e-09
118.68	inf	inf	1.90031e-09	7.758e-09
118.94	inf	inf	1.89463e-09	7.7348e-09
119.2	inf	inf	1.88915e-09	7.71244e-09
119.46	inf	inf	1.88388e-09	7.69092e-09
119.72	inf	inf	1.87882e-09	7.67025e-09
119.98	inf	inf	1.87397e-09	7.65044e-09
120.24	inf	inf	1.86933e-09	7.63149e-09
120.5	inf	inf	1.8649e-09	7.61344e-09
120.76	inf	inf	1.8607e-09	7.59627e-09
121.02	inf	inf	1.85672e-09	7.58001e-09
121.28	inf	inf	1.85296e-09	7.56468e-09
121.54	inf	inf	1.84943e-09	7.55028e-09
121.8	inf	inf	1.84614e-09	7.53683e-09
122.06	inf	inf	1.84308e-09	7.52435e-09
122.32	inf	inf	1.84027e-09	7.51286e-09
122.58	inf	inf	1.8377e-09	7.50238e-09
122.84	inf	inf	1.83539e-09	7.49293e-09
123.1	inf	inf	1.83333e-09	7.48454e-09
123.36	inf	inf	1.83154e-09	7.47722e-09
123.62	inf	inf	1.83002e-09	7.47101e-09
123.88	inf	inf	1.82877e-09	7.46593e-09
124.14	inf	inf	1.82781e-09	7.46202e-09
124.4	inf	inf	1.82715e-09	7.45929e-09
124.66	inf	inf	1.82678e-09	7.4578e-09
124.92	inf	inf	1.82673e-09	7.45758e-09
125.18	inf	inf	1.82699e-09	7.45867e-09
125.44	inf	inf	1.82759e-09	7.4611e-09
125.7	inf	inf	1.82853e-09	7.46493e-09
125.96	inf	inf	1.82982e-09	7.47021e-09
126.22	inf	inf	1.83148e-09	7.47699e-09
126.48	inf	inf	1.83352e-09	7.48532e-09
126.74	inf	inf	1.83596e-09	7.49527e-09
127	inf	inf	1.83881e-09	7.50691e-09
127.26	inf	inf	1.84209e-09	7.5203e-09
127.52	inf	inf	1.84582e-09	7.53553e-09
127.78	inf	inf	1.85002e-09	7.55268e-09
128.04	inf	inf	1.85471e-09	7.57183e-09
128.3	inf	inf	1.85992e-09	7.59309e-09
128.56	inf	inf	1.86567e-09	7.61657e-09
128.82	inf	inf	1.87199e-09	7.64238e-09
129.08	inf	inf	1.87892e-09	7.67065e-09
129.34	inf	inf	1.88648e-09	7.70152e-09
129.6	inf	inf	1.89472e-09	7.73514e-09
129.86	inf	inf	1.90367e-09	7.77168e-09
130.12	inf	inf	1.91338e-09	7.81133e-09
130.38	inf	inf	1.9239e-09	7.85427e-09
130.64	inf	inf	1.93528e-09	7.90075e-09
130.9	inf	inf	1.94759e-09	7.951e-09
131.16	inf	inf	1.96089e-09	8.0053e-09
131.42	inf	inf	1.97526e-09	8.06395e-09
131.68	inf	inf	1.99078e-09	8.12731e-09
131.94	inf	inf	2.00754e-09	8.19574e-09
132.2	inf	inf	2.02565e-09	8.26969e-09
132.46	inf	inf	2.04523e-09	8.34963e-09
132.72	inf	inf	2.06642e-09	8.43612e-09
132.98	inf	inf	2.08936e-09	8.52979e-09
133.24	inf	inf	2.11424e-09	8.63135e-09
133.5	inf	inf	2.14126e-09	8.74164e-09
133.76	inf	inf	2.17064e-09	8.86161e-09
134.02	inf	inf	2.20267e-09	8.99237e-09
134.28	inf	inf	2.23767e-09	9.13524e-09
134.54	inf	inf	2.276e-09	9.29174e-09
134.8	inf	inf	2.31813e-09	9.46373e-09
135.06	inf	inf	2.36459e-09	9.6534e-09
135.32	inf	inf	2.41603e-09	9.86342e-09
135.58	inf	inf	2.47327e-09	1.00971e-08
135.84	inf	inf	2.53729e-09	1.03584e-08
136.1	inf	inf	2.60935e-09	1.06526e-08
136.36	inf	inf	2.69107e-09	1.09862e-08
136.62	inf	inf	2.78454e-09	1.13678e-08
136.88	inf	inf	2.89255e-09	1.18088e-08
137.14	inf	inf	3.01893e-09	1.23247e-08
137.4	inf	inf	3.16907e-09	1.29377e-08
137.66	inf	inf	3.35087e-09	1.36799e-08
137.92	inf	inf	3.57644e-09	1.46007e-08
138.18	inf	inf	3.86554e-09	1.5781e-08
138.44	inf	inf	4.25314e-09	1.73634e-08
138.7	inf	inf	4.80868e-09	1.96314e-08
138.96	inf	inf	5.69724e-09	2.32589e-08
139.22	inf	inf	7.46184e-09	3.04628e-08
139.48	inf	inf	1.45987e-08	5.9599e-08
